歌单名称,播放量,歌单链接,用户名称,用户链接
Tropical House 净澈之道,945万,https://music.163.com/#/playlist?id=740681814,純鯨official,https://music.163.com/#/user/home?id=102037585
超赞！跑步燃脂的健身运动节奏,923万,https://music.163.com/#/playlist?id=111126364,瑾妤汐,https://music.163.com/#/user/home?id=55599589
前奏秒杀的小众音乐,903万,https://music.163.com/#/playlist?id=583026715,王谜_,https://music.163.com/#/user/home?id=283858806
视街舞为生命，爵士，hiphop常用，不断更新,895万,https://music.163.com/#/playlist?id=45065364,蒨妞是个大迷妹,https://music.163.com/#/user/home?id=49119586
街头极限健身 Street Workout BGM,891万,https://music.163.com/#/playlist?id=319303144,AlexAnder_FY,https://music.163.com/#/user/home?id=62350507
也就一万首歌吧,878万,https://music.163.com/#/playlist?id=6751339639,藏了很久很久,https://music.163.com/#/user/home?id=333588245
特种部队剪辑BGM大全,875万,https://music.163.com/#/playlist?id=2053169000,魔王大大大黄,https://music.163.com/#/user/home?id=337879788
长板少女 ʚ dancing ɞ,870万,https://music.163.com/#/playlist?id=938269849,甜味小草莓,https://music.163.com/#/user/home?id=475884496
跑步踩点节奏控必备,863万,https://music.163.com/#/playlist?id=2338374803,Papi_Yolanda,https://music.163.com/#/user/home?id=132330772
激励 | 在属于你的世界里放肆奔跑,851万,https://music.163.com/#/playlist?id=622954530,Guanzhi观止,https://music.163.com/#/user/home?id=246964187
一兆韦德推荐健身歌单,851万,https://music.163.com/#/playlist?id=54960425,真龙袖,https://music.163.com/#/user/home?id=30199277
抖腿电音✪✪劲爆嗨曲,834万,https://music.163.com/#/playlist?id=2150101638,A梓淇,https://music.163.com/#/user/home?id=500517052
打游戏超火的英文歌 巨燃战歌,822万,https://music.163.com/#/playlist?id=916124839,不胜西瓜,https://music.163.com/#/user/home?id=409063022
超带感骑行音乐无限循环公路党狂飙,812万,https://music.163.com/#/playlist?id=48293091,狐狸锅锅,https://music.163.com/#/user/home?id=44293336
[ 运动音乐 ] 脂肪与美貌不可兼得,810万,https://music.163.com/#/playlist?id=24344383,柠檬酸自知,https://music.163.com/#/user/home?id=6802965
嘿喂够！车窗摇下来！,804万,https://music.163.com/#/playlist?id=2502937206,Awei-love,https://music.163.com/#/user/home?id=1399109918
健身房超燃歌单,797万,https://music.163.com/#/playlist?id=883939114,殷乐疯,https://music.163.com/#/user/home?id=5599259
欧美嘻哈＆【篮球节奏控】,786万,https://music.163.com/#/playlist?id=549368187,毒克文,https://music.163.com/#/user/home?id=383778257
『Deep House』深夜低音车载必备硬曲,778万,https://music.163.com/#/playlist?id=2179538982,烟卷菌,https://music.163.com/#/user/home?id=93979130
〔节奏丨健身运动神曲〕,767万,https://music.163.com/#/playlist?id=1994474483,Bilaliden-,https://music.163.com/#/user/home?id=299702426
一个健身女孩的{跑步歌单},741万,https://music.163.com/#/playlist?id=3132831247,Gv-Mira,https://music.163.com/#/user/home?id=405187824
下班回家开车行车驾车汽车车载音乐,738万,https://music.163.com/#/playlist?id=787233586,骑着野猪过河,https://music.163.com/#/user/home?id=411946828
节奏音乐｜超级带感的欧美音乐,732万,https://music.163.com/#/playlist?id=2765785241,迟到得到,https://music.163.com/#/user/home?id=302853495
真正的包厢接线嗨曲，EDM嗨爆你的大脑,716万,https://music.163.com/#/playlist?id=503638421,DJSuccess,https://music.163.com/#/user/home?id=258762085
热身BGM丨跳舞//运动必备,713万,https://music.163.com/#/playlist?id=395591244,艾琳艾德勒丶,https://music.163.com/#/user/home?id=82179192
【燃情时刻】世界杯音乐集锦,713万,https://music.163.com/#/playlist?id=2268185902,pure日月,https://music.163.com/#/user/home?id=897345
生活也需要节奏，开车必备歌单,712万,https://music.163.com/#/playlist?id=5338566001,Ccs27,https://music.163.com/#/user/home?id=248898916
开火车专用歌曲有毒勿听,711万,https://music.163.com/#/playlist?id=496521235,DoRfanminGo丶,https://music.163.com/#/user/home?id=121648317
Old School HipHop律动练习 珍藏版,704万,https://music.163.com/#/playlist?id=2276494197,Rootskool,https://music.163.com/#/user/home?id=558975871
[硬核]气场提升 车载硬曲,678万,https://music.163.com/#/playlist?id=3142038260,三好_zz,https://music.163.com/#/user/home?id=625196077
加速燃脂，健身运动BGM,678万,https://music.163.com/#/playlist?id=627451347,病娇萝莉o,https://music.163.com/#/user/home?id=364557575
「hiphop」打篮球打游戏时自带的BGM,677万,https://music.163.com/#/playlist?id=563561161,帆高初见阳菜,https://music.163.com/#/user/home?id=246828379
[极速刷作业向]速弹弗拉门戈吉他曲,676万,https://music.163.com/#/playlist?id=37890260,Wa-ve,https://music.163.com/#/user/home?id=15796345
体育生训练BGM（肾上腺素飙升）,672万,https://music.163.com/#/playlist?id=6849697306,Hao不鱿鱼,https://music.163.com/#/user/home?id=1362869267
「百首运动时候必备的歌」,672万,https://music.163.com/#/playlist?id=777985388,后来就起风了,https://music.163.com/#/user/home?id=497102802
压迫感的天花板,665万,https://music.163.com/#/playlist?id=5069364862,杜子豪K,https://music.163.com/#/user/home?id=1433781760
【China】国人电音精品，这节奏不停歇,651万,https://music.163.com/#/playlist?id=2176013162,原点FM,https://music.163.com/#/user/home?id=247176530
无氧运动动力学，健身必备打鸡血！超燃电音,644万,https://music.163.com/#/playlist?id=2365235919,亲切的隔壁老王,https://music.163.com/#/user/home?id=446135868
100首国外健身机构总结的有氧运动音乐,642万,https://music.163.com/#/playlist?id=78142890,Gymshark_Official,https://music.163.com/#/user/home?id=33071650
【高能燃脂】健身房必备歌单,627万,https://music.163.com/#/playlist?id=7623883399,龙楠林,https://music.163.com/#/user/home?id=531931703
【节奏控】超燃跑步歌单必备！！！,612万,https://music.163.com/#/playlist?id=3191932418,袅袅夫人,https://music.163.com/#/user/home?id=554512834
热歌推荐[网易热歌，陪你过炙热的夏天。],610万,https://music.163.com/#/playlist?id=581943469,捧花XI,https://music.163.com/#/user/home?id=363453987
♬ 【节奏控】生命中处处有光,610万,https://music.163.com/#/playlist?id=832894031,小卧草,https://music.163.com/#/user/home?id=310832024
半程马拉松就靠他了!中文跑步歌单,606万,https://music.163.com/#/playlist?id=622290638,舒兰社会大哥,https://music.163.com/#/user/home?id=337797546
打球和锻炼听的歌［for Kobe］,601万,https://music.163.com/#/playlist?id=903557836,玉林cxk,https://music.163.com/#/user/home?id=498390406
「运动健身必听曲」【精选】,593万,https://music.163.com/#/playlist?id=82939762,Lncomparable,https://music.163.com/#/user/home?id=58236410
◢ 跑步歌单｜不用找了都在这里,586万,https://music.163.com/#/playlist?id=309410027,上癮失眠,https://music.163.com/#/user/home?id=74614748
玩长板时听的歌,574万,https://music.163.com/#/playlist?id=623894359,ZEzra,https://music.163.com/#/user/home?id=393072687
健身房运动音乐】必备中英跳绳跑步带感歌单,573万,https://music.163.com/#/playlist?id=5157014884,见字如面_suan,https://music.163.com/#/user/home?id=511754468
【练球必备】节奏感爆棚/篮球bgm,569万,https://music.163.com/#/playlist?id=3087636227,KID2820,https://music.163.com/#/user/home?id=1927619789
练腿专用┃超带劲打鸡血说唱,569万,https://music.163.com/#/playlist?id=564632357,郑元子大仙,https://music.163.com/#/user/home?id=317795994
适合一个人打篮球听的歌,567万,https://music.163.com/#/playlist?id=2822163558,Curry_kyrie,https://music.163.com/#/user/home?id=1868285586
.「篮球专属」运球过人BGM」运动打球专属,564万,https://music.163.com/#/playlist?id=629275355,Mai_454,https://music.163.com/#/user/home?id=7431194
力量训练『音乐氮泵•助力突破极限』,552万,https://music.163.com/#/playlist?id=385796906,你好吗TAT,https://music.163.com/#/user/home?id=275069486
【战歌】极品电音×史诗,550万,https://music.163.com/#/playlist?id=972362841,帐号已注销,https://music.163.com/#/user/home?id=589942285
【全类型燃向BGM】GOD's love核爆音乐,549万,https://music.163.com/#/playlist?id=111800609,浚焰,https://music.163.com/#/user/home?id=95113159
爵士舞基本功，好听节奏控,546万,https://music.163.com/#/playlist?id=155292027,肖______,https://music.163.com/#/user/home?id=105242153
『硬曲』圣罗兰之花永不凋零,533万,https://music.163.com/#/playlist?id=2420291699,07Kyrie,https://music.163.com/#/user/home?id=333743768
注入耳朵的鸡血（举铁氮泵,524万,https://music.163.com/#/playlist?id=521509812,Cp_1077,https://music.163.com/#/user/home?id=108159898
开心欢乐快节奏的歌,515万,https://music.163.com/#/playlist?id=4938412631,coolcakee,https://music.163.com/#/user/home?id=1454576765
硬曲|皆为潮流至上（ppx）,505万,https://music.163.com/#/playlist?id=3228188499,净于清-内涵tv,https://music.163.com/#/user/home?id=302143146
剪辑自用|超酷节奏踩点,502万,https://music.163.com/#/playlist?id=2208096511,芯核乌鸦,https://music.163.com/#/user/home?id=272978588
开车运动专用提神洗脑带感节奏欧美vlogBGM,501万,https://music.163.com/#/playlist?id=920415252,JohnX-洪,https://music.163.com/#/user/home?id=536295915
健身跑步BGM,496万,https://music.163.com/#/playlist?id=2789292193,HaPNy_,https://music.163.com/#/user/home?id=406292002
