歌单名称,播放量,歌单链接,用户名称,用户链接
【燃向】【大气】古风男声 策马江湖,371万,https://music.163.com/#/playlist?id=994017498,竹七_1007,https://music.163.com/#/user/home?id=381225169
|晨练站桩|打坐冥想|平心静气修禅定,369万,https://music.163.com/#/playlist?id=143218209,了不起的某某某_,https://music.163.com/#/user/home?id=88560046
一人一首古风曲【古风圈歌手】,366万,https://music.163.com/#/playlist?id=380725136,米虫-小蚊子丶一只呆雯纸,https://music.163.com/#/user/home?id=896790
女声 古风 攻音 燃系~[那些攻气满满的女生],366万,https://music.163.com/#/playlist?id=2016124838,瑬柒久拾,https://music.163.com/#/user/home?id=560775586
「古风」情之一字，掷地有声,364万,https://music.163.com/#/playlist?id=925035122,-穷尽诗家笔-,https://music.163.com/#/user/home?id=411402173
『国风/古风电音』人声唱曲（非纯音乐）,360万,https://music.163.com/#/playlist?id=2112390817,叶千岚,https://music.163.com/#/user/home?id=1364448620
超火古风歌曲TOP30，开口跪系列,359万,https://music.163.com/#/playlist?id=3214453736,Uu-小锦鲤吖,https://music.163.com/#/user/home?id=330904909
许嵩的风雅中国风,355万,https://music.163.com/#/playlist?id=99637389,SilveryStar,https://music.163.com/#/user/home?id=70835784
剑网三剧情歌(史上最全版),355万,https://music.163.com/#/playlist?id=365889122,听得我头晕,https://music.163.com/#/user/home?id=135329593
【古风】戏腔『古风男神女神美炸的戏腔』,350万,https://music.163.com/#/playlist?id=785605988,乖_叫老攻,https://music.163.com/#/user/home?id=352929601
进来看看啊～可爱的古风小曲儿哟～,349万,https://music.163.com/#/playlist?id=2002498403,semi-moon,https://music.163.com/#/user/home?id=441056404
《长月烬明》电视剧OST主题曲,348万,https://music.163.com/#/playlist?id=7358137690,素莲雪绛,https://music.163.com/#/user/home?id=1538779721
【古风】不期而遇的温暖,347万,https://music.163.com/#/playlist?id=82899182,曳雾绡之轻裾,https://music.163.com/#/user/home?id=59437021
【此生无悔入剑三】❤剑网三我回来啦,346万,https://music.163.com/#/playlist?id=111108753,-煎饼狗子丶,https://music.163.com/#/user/home?id=32331574
[ 古风向 ]易安亦难安✨,345万,https://music.163.com/#/playlist?id=2288971278,-Schwein_,https://music.163.com/#/user/home?id=494496665
『欢快古风』恰似年少时,339万,https://music.163.com/#/playlist?id=950769297,落笔为霁月,https://music.163.com/#/user/home?id=565917628
好听到炸裂的古风歌曲合集,339万,https://music.163.com/#/playlist?id=3062667963,沉香亭北-Y,https://music.163.com/#/user/home?id=255127494
国风悠扬 | 温澜潮生,330万,https://music.163.com/#/playlist?id=2355923650,-毕宿五,https://music.163.com/#/user/home?id=331310509
【古风】听一遍绝对不会后悔的好听古风歌单,328万,https://music.163.com/#/playlist?id=2391091037,是你的顾柒柒_cc,https://music.163.com/#/user/home?id=346769611
【古风精选】第一耳就感动我的古风歌,326万,https://music.163.com/#/playlist?id=703084172,看见彩虹的阿茗,https://music.163.com/#/user/home?id=278089407
只是建这个歌单 自己想安静看书时听～,324万,https://music.163.com/#/playlist?id=599492617,_Realvip,https://music.163.com/#/user/home?id=2865685
戏腔韵味｜别人的故事里流着自己的泪,322万,https://music.163.com/#/playlist?id=1979676879,迩ran,https://music.163.com/#/user/home?id=305275091
『国风歌曲』鲜衣怒马少年，冲冠一怒为红颜,319万,https://music.163.com/#/playlist?id=2485723111,冷暖沙漠,https://music.163.com/#/user/home?id=63525057
『随歌入画』笔墨浓淡，丹青绘山河,317万,https://music.163.com/#/playlist?id=2102255856,花色游戏,https://music.163.com/#/user/home?id=248755337
中文说唱｜带着江湖气息的中国风说唱,316万,https://music.163.com/#/playlist?id=4998170760,想要盒乐高,https://music.163.com/#/user/home?id=2121967476
古风良缘｜愿得一人心 白首不辞卿,315万,https://music.163.com/#/playlist?id=2086728689,迩ran,https://music.163.com/#/user/home?id=305275091
【古风】敬属江上雨 寒舟里 我独饮,314万,https://music.163.com/#/playlist?id=455178293,帐号已注销,https://music.163.com/#/user/home?id=117256223
『古风无尾奏』此时无声胜有声,313万,https://music.163.com/#/playlist?id=2694661830,花色游戏,https://music.163.com/#/user/home?id=248755337
☯纯音乐·古风☯ 始于东方而盛于天下,306万,https://music.163.com/#/playlist?id=468530168,M_P_C_,https://music.163.com/#/user/home?id=285221516
【剧情歌】跟着对白旁白歌词听那爱恨情仇,302万,https://music.163.com/#/playlist?id=23600341,米虫-小蚊子丶一只呆雯纸,https://music.163.com/#/user/home?id=896790
音阙诗听的二十四节气,301万,https://music.163.com/#/playlist?id=2802117200,我来看看这个美少年,https://music.163.com/#/user/home?id=1842926637
「古风」笛子前奏，如春风拂过,301万,https://music.163.com/#/playlist?id=2188949054,-穷尽诗家笔-,https://music.163.com/#/user/home?id=411402173
「Hiphop」初听惊艳再听上瘾的国风说唱,301万,https://music.163.com/#/playlist?id=3085534147,杰弗里呀,https://music.163.com/#/user/home?id=131509758
世事一场大梦，人生几度秋凉,300万,https://music.163.com/#/playlist?id=947179807,-穷尽诗家笔-,https://music.163.com/#/user/home?id=411402173
国风戏腔唱出摇滚味｜醉了醉了！,298万,https://music.163.com/#/playlist?id=7023543417,不二叔情感翻译官,https://music.163.com/#/user/home?id=556046321
一声红昭愿一生音阙诗听,294万,https://music.163.com/#/playlist?id=1981056272,叶藏于庭TT,https://music.163.com/#/user/home?id=407089886
「词作精选」那些惊艳过我的古风词,294万,https://music.163.com/#/playlist?id=740357872,-穷尽诗家笔-,https://music.163.com/#/user/home?id=411402173
